p_hard,p_soft,z_soft,dev_attack_misses,benign_open_tick_frac,mean_open_latency_s
5,3,3.5,0,0.086522462562396,3.0
5,3,4.5,0,0.08132279534109817,3.0833333333333335
5,3,6.0,0,0.07882695507487521,4.416666666666667
5,3,10.0,0,0.07882695507487521,4.416666666666667
5,5,3.0,0,0.08673044925124791,4.041666666666667
5,5,3.5,0,0.08069883527454243,4.416666666666667
5,5,4.5,0,0.07882695507487521,4.416666666666667
5,5,6.0,0,0.07882695507487521,4.416666666666667
5,5,10.0,0,0.07882695507487521,4.416666666666667
5,8,3.0,0,0.07924292845257903,4.25
5,8,3.5,0,0.07882695507487521,4.416666666666667
5,8,4.5,0,0.07882695507487521,4.416666666666667
5,8,6.0,0,0.07882695507487521,4.416666666666667
5,8,10.0,0,0.07882695507487521,4.416666666666667
5,12,3.0,0,0.07882695507487521,4.416666666666667
5,12,3.5,0,0.07882695507487521,4.416666666666667
5,12,4.5,0,0.07882695507487521,4.416666666666667
5,12,6.0,0,0.07882695507487521,4.416666666666667
5,12,10.0,0,0.07882695507487521,4.416666666666667
5,20,3.0,0,0.07882695507487521,4.416666666666667
5,20,3.5,0,0.07882695507487521,4.416666666666667
5,20,4.5,0,0.07882695507487521,4.416666666666667
5,20,6.0,0,0.07882695507487521,4.416666666666667
5,20,10.0,0,0.07882695507487521,4.416666666666667
5,10000,3.0,0,0.07882695507487521,4.416666666666667
5,10000,3.5,0,0.07882695507487521,4.416666666666667
5,10000,4.5,0,0.07882695507487521,4.416666666666667
5,10000,6.0,0,0.07882695507487521,4.416666666666667
5,10000,10.0,0,0.07882695507487521,4.416666666666667
